,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
150,Scarface,1983,170,8.3,65.0,838905,45.6
151,Oldboy,2003,120,8.4,77.0,578627,0.71
152,Bohemian Rhapsody,2018,134,7.9,49.0,537999,216.43
153,The Big Short,2015,130,7.8,81.0,431756,70.26
154,The Handmaiden,2016,145,8.1,84.0,147948,2.01
155,Donnie Darko,2001,113,8.0,88.0,801361,1.48
156,The Hangover,2009,100,7.7,73.0,785362,277.32
157,Captain Phillips,2013,134,7.8,82.0,462049,107.1
158,Memento,2000,113,8.4,80.0,1234785,25.54
159,Man on Fire,2004,146,7.7,47.0,364749,77.91
160,Sicario,2015,121,7.6,82.0,430265,46.89
161,The Blind Side,2009,129,7.6,53.0,333485,255.96
162,Blue Is the Warmest Colour,2013,180,7.7,90.0,153359,2.2
163,Terminator 2: Judgment Day,1991,137,8.6,75.0,1095708,204.84
164,Apocalypto,2006,139,7.8,68.0,314254,50.87
165,The Hunt,2012,115,8.3,77.0,330352,0.69
166,Catch Me If You Can,2002,141,8.1,75.0,978125,164.62
167,Thor: Ragnarok,2017,130,7.9,74.0,749958,315.06
168,The Others,2001,104,7.6,74.0,368654,96.52
169,The Lord of the Rings: The Two Towers,2002,179,8.8,87.0,1660091,342.55
170,Casino,1995,178,8.2,73.0,520097,42.44
171,City of God,2002,130,8.6,79.0,755563,7.56
172,Another Round,2020,117,7.7,79.0,158214,Null
173,Skyfall,2012,143,7.8,81.0,697437,304.36
174,La La Land,2016,128,8.0,94.0,586328,151.1
175,Inside Man,2006,129,7.6,76.0,374642,88.51
176,There Will Be Blood,2007,158,8.2,93.0,586423,40.22
177,Star Trek,2009,127,7.9,82.0,604422,257.73
178,Her,2013,126,8.0,91.0,612769,25.57
179,The Breakfast Club,1985,97,7.8,66.0,399558,45.88
180,Hidden Figures,2016,127,7.8,74.0,230932,169.61
181,The Martian,2015,144,8.0,80.0,852089,228.43
182,"The Good, the Bad and the Ugly",1966,178,8.8,90.0,759983,6.1
183,Office Space,1999,89,7.7,68.0,268568,10.82
184,Wind River,2017,107,7.7,73.0,252761,33.8
