,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
914,Soorarai Pottru,2020,153,8.7,Null,116787,Null
915,Departures,2008,130,8.0,68.0,52501,1.5
916,Dil Chahta Hai,2001,183,8.1,Null,72694,0.3
917,Celda 211,2009,113,7.6,Null,68154,Null
918,The Virgin Spring,1960,89,8.1,Null,29653,1.53
919,Jab We Met,2007,138,7.9,Null,53776,0.41
920,Talvar,2015,132,8.1,Null,35778,0.34
921,Battleship Potemkin,1925,66,7.9,97.0,58261,0.05
922,About Elly,2009,119,7.9,87.0,53918,0.11
923,Munna Bhai M.B.B.S.,2003,156,8.1,Null,82700,Null
924,Uri: The Surgical Strike,2019,138,8.2,Null,64499,4.19
925,Fireworks,1997,103,7.7,Null,31035,0.23
926,Nights of Cabiria,1957,110,8.1,Null,49445,0.75
927,Elevator to the Gallows,1958,91,7.9,94.0,26174,0.11
928,Kahaani,2012,122,8.1,Null,63268,1.04
929,Raise the Red Lantern,1991,125,8.1,Null,33089,2.6
930,Sherlock Jr.,1924,45,8.2,Null,50593,0.98
931,Let's Go! India,2007,153,8.1,68.0,80912,1.11
932,Hiroshima Mon Amour,1959,90,7.9,Null,32756,0.09
933,The Magdalene Sisters,2002,114,7.7,83.0,27461,4.89
934,The Purple Rose of Cairo,1985,82,7.7,75.0,52131,10.63
935,Chhichhore,2019,143,8.3,Null,54961,0.9
936,Queen,2013,146,8.1,Null,66173,1.43
937,Ayla: The Daughter of War,2017,125,8.3,Null,40202,Null
938,Millennium Actress,2001,87,7.8,70.0,28561,0.19
939,Rang De Basanti,2006,167,8.1,Null,119390,2.2
940,The Lost Weekend,1945,101,7.9,Null,37646,9.46
941,Rififi,1955,118,8.1,97.0,34742,0.06
942,Barfi!,2012,151,8.1,Null,82577,2.8
943,Masaan,2015,109,8.1,Null,28441,Null
944,Haider,2014,160,8.0,Null,55348,0.9
945,OMG: Oh My God!,2012,125,8.1,Null,59455,0.92
946,Once Upon a Time in Anatolia,2011,157,7.8,82.0,46808,0.14
947,The Return,2003,110,7.9,82.0,45822,0.5
948,"Like Father, Like Son",2013,121,7.8,73.0,25441,0.28
949,No Man's Land,2001,98,7.9,84.0,47400,1.06
950,Knockin' on Heaven's Door,1997,87,7.9,Null,30997,0.0
951,The Grand Illusion,1937,113,8.1,Null,37012,0.17
952,La strada,1954,108,8.0,Null,63624,Null
953,Elite Squad 2: The Enemy Within,2010,115,8.0,71.0,83565,0.1
954,Jean de Florette,1986,120,8.1,Null,26150,4.94
955,A Night at the Opera,1935,96,7.8,Null,33210,2.54
956,The Rules of the Game,1939,110,7.9,Null,29365,Null
957,C.R.A.Z.Y.,2005,129,7.9,81.0,33091,Null
958,Zelig,1983,79,7.7,Null,42431,11.8
959,The Past,2013,130,7.7,85.0,49281,1.33
960,Dev.D,2009,144,7.9,Null,30959,0.01
961,Central Station,1998,110,8.0,80.0,40035,5.6
962,Love and Death,1975,85,7.7,89.0,38939,Null
963,Pad Man,2018,140,7.9,Null,26572,1.66
964,96,2018,158,8.5,Null,31627,Null
965,Through a Glass Darkly,1961,90,8.0,84.0,25669,Null
966,Super 30,2019,154,7.9,Null,32790,2.27
967,The Message,1976,177,8.1,Null,48072,Null
968,Badhaai Ho,2018,124,7.9,Null,35040,Null
969,My Life as a Zucchini,2016,70,7.7,85.0,25925,0.29
970,M.S. Dhoni: The Untold Story,2016,184,7.9,Null,59592,1.78
971,Tae Guk Gi: The Brotherhood of War,2004,140,8.0,64.0,39963,1.11
972,Tangerines,2013,87,8.1,73.0,46628,0.14
973,Sholay,1975,162,8.1,Null,56164,Null
974,Special 26,2013,144,8.0,Null,56698,1.08
975,Sanjuro,1962,96,8.0,Null,38605,Null
976,"Rome, Open City",1945,103,8.0,Null,26926,Null
977,Hera Pheri,2000,156,8.1,Null,67523,Null
978,Hindi Medium,2017,132,7.8,Null,29547,Null
979,The Edge of Heaven,2007,122,7.7,85.0,32411,0.74
980,Asuran,2019,141,8.4,Null,29806,Null
981,Bhaag Milkha Bhaag,2013,186,8.2,Null,68644,1.63
982,The Circus,1928,72,8.1,90.0,34112,Null
983,The Bandit,1996,128,8.1,Null,70302,Null
984,"Carry On, Munna Bhai",2006,144,8.0,Null,47497,2.22
985,Vicky Donor,2012,126,7.8,Null,43709,0.17
986,G.O.R.A.,2004,127,8.0,Null,63305,Null
987,Black,2005,122,8.1,Null,35170,0.73
988,Umberto D.,1952,89,8.2,92.0,26183,0.07
989,Udaan,2010,134,8.1,Null,45352,0.01
990,Baby,2015,159,7.9,Null,58146,Null
991,Vizontele,2001,110,8.0,Null,37008,Null
992,English Vinglish,2012,134,7.8,Null,36874,1.67
993,Everything's Gonna Be Great,1998,107,8.1,Null,25793,Null
994,Andaz Apna Apna,1994,160,8.0,Null,53654,Null
995,Airlift,2016,130,7.9,Null,57326,Null
996,Paan Singh Tomar,2012,135,8.2,Null,36590,0.04
997,Anand,1971,122,8.1,Null,34030,Null
998,Sarfarosh,1999,174,8.1,Null,25937,Null
999,The Breath,2009,128,8.0,Null,33972,Null
