movie_id,movie_title,budget
50730,RoboCop,120000000
93815,Speed Racer,120000000
18581,How Do You Know,120000000
11271,Knight and Day,117000000
44500,Oblivion,120000000
70394,Star Wars: Episode III - Revenge of the Sith,113000000
85111,Star Wars: Episode II - Attack of the Clones,120000000
27813,"Monsters, Inc.",115000000
44846,The Wolverine,120000000
79922,Star Wars: Episode I - The Phantom Menace,115000000
79012,The Croods,135000000
24473,Astérix aux Jeux Olympiques,97250400
86541,Windtalkers,115000000
21395,The Huntsman: Winter's War,115000000
61601,Teenage Mutant Ninja Turtles,125000000
48054,Gravity,105000000
93336,Dante's Peak,116000000
51389,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000
66126,Fantastic Four,120000000
70876,Night at the Museum,110000000
79932,San Andreas,110000000
64774,Tomorrow Never Dies,110000000
60297,The Patriot,110000000
25066,Ocean's Twelve,110000000
90803,Mr. & Mrs. Smith,110000000
50318,Insurgent,110000000
25479,The Aviator,116000000
26184,Gulliver's Travels,112000000
46918,The Green Hornet,120000000
24169,300: Rise of an Empire,110000000
56458,The Smurfs,110000000
83516,Home on the Range,110000000
51653,Allegiant,110000000
86300,Real Steel,110000000
72857,The Smurfs 2,105000000
21128,Speed 2: Cruise Control,160000000
12512,Ender's Game,110000000
45441,Live Free or Die Hard,110000000
34484,The Lord of the Rings: The Fellowship of the Ring,93000000
18990,Around the World in 80 Days,110000000
65576,Ali,107000000
61231,The Cat in the Hat,0
23396,"I, Robot",120000000
38021,Kingdom of Heaven,130000000
22632,Stuart Little,133000000
58307,The Princess and the Frog,105000000
84430,The Martian,108000000
61452,The Island,126000000
52397,Town & Country,90000000
53612,Gone in Sixty Seconds,90000000
80925,Gladiator,103000000
33905,Minority Report,102000000
56936,Harry Potter and the Chamber of Secrets,100000000
94161,Casino Royale,150000000
23505,Planet of the Apes,100000000
75874,Terminator 2: Judgment Day,100000000
23599,Public Enemies,80000000
27971,American Gangster,100000000
33716,True Lies,115000000
83683,The Taking of Pelham 1 2 3,100000000
65856,Little Fockers,100000000
47939,The Other Guys,100000000
44283,Eraser,100000000
37892,Django Unchained,100000000
68915,The Hunchback of Notre Dame,100000000
12792,The Emperor's New Groove,100000000
25047,The Expendables 2,100000000
58880,National Treasure,100000000
28014,Eragon,100000000
71863,Where the Wild Things Are,100000000
91383,Epic,100000000
22343,The Tourist,100000000
19724,End of Days,100000000
34814,Blood Diamond,100000000
33641,The Wolf of Wall Street,100000000
68742,Batman Forever,100000000
35313,Starship Troopers,105000000
55583,Cloud Atlas,102000000
