,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
111,X-Men,2000,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104,7.3,64,616834,73.0
112,Under the Skin,2013,R,"['Drama', ' Horror', ' Mystery']",108,6.3,80,145329,63.0
113,Captain America: Civil War,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",147,7.8,75,786156,78.0
114,Star Wars: Episode VIII - The Last Jedi,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",152,6.9,84,631250,69.0
115,Star Wars: Episode I - The Phantom Menace,1999,PG,"['Action', ' Adventure', ' Fantasy']",136,6.5,51,805198,65.0
116,Dune,1984,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137,6.3,41,162739,63.0
117,The Faculty,1998,R,"['Horror', ' Mystery', ' Sci-Fi']",104,6.5,61,125105,65.0
118,Starship Troopers,1997,R,"['Action', ' Adventure', ' Sci-Fi']",129,7.3,51,297570,73.0
119,The Platform,2019,TV-MA,"['Horror', ' Sci-Fi', ' Thriller']",94,7.0,73,225609,70.0
120,Armageddon,1998,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,6.7,42,427545,67.0
121,War of the Worlds,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,6.5,73,450257,65.0
122,Children of Men,2006,R,"['Action', ' Drama', ' Sci-Fi']",109,7.9,84,501662,79.0
123,Wonder Woman,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",141,7.4,76,658057,74.0
124,Meet Cute,2022,TV-MA,"['Comedy', ' Drama', ' Fantasy']",89,5.6,50,4179,56.0
125,Batman v Superman: Dawn of Justice,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,6.4,44,699793,64.0
126,Spider-Man: Far from Home,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",129,7.4,69,491045,74.0
127,Limitless,2011,PG-13,"['Sci-Fi', ' Thriller']",105,7.4,59,575197,74.0
128,Star Wars: Episode V - The Empire Strikes Back,1980,PG,"['Action', ' Adventure', ' Fantasy']",124,8.7,82,1287952,87.0
129,Annihilation,2018,R,"['Adventure', ' Drama', ' Horror']",115,6.8,79,327331,68.0
130,Predator,1987,R,"['Action', ' Adventure', ' Horror']",107,7.8,47,424576,78.0
131,Iron Man 3,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,7.1,62,849162,71.0
132,A Quiet Place Part II,2020,PG-13,"['Drama', ' Horror', ' Sci-Fi']",97,7.2,71,227636,72.0
133,Vesper,2022,Not Rated,"['Adventure', ' Drama', ' Sci-Fi']",114,6.0,70,11393,60.0
134,WALL·E,2008,G,"['Animation', ' Adventure', ' Family']",98,8.4,95,1112771,84.0
135,Iron Man 2,2010,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,57,816661,69.0
136,Free Birds,2013,PG,"['Animation', ' Adventure', ' Comedy']",91,5.8,38,24621,58.0
137,Independence Day,1996,PG-13,"['Action', ' Adventure', ' Sci-Fi']",145,7.0,59,576404,70.0
138,Minority Report,2002,PG-13,"['Action', ' Crime', ' Mystery']",145,7.6,80,552697,76.0
139,Avengers: Age of Ultron,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",141,7.3,66,862012,73.0
140,X-Men: First Class,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,7.7,65,693676,77.0
141,RoboCop,1987,R,"['Action', ' Crime', ' Sci-Fi']",102,7.6,70,260345,76.0
142,What Happened to Monday,2017,TV-MA,"['Action', ' Crime', ' Fantasy']",123,6.8,47,124153,68.0
143,Hot Tub Time Machine,2010,R,"['Comedy', ' Sci-Fi']",101,6.4,63,176613,64.0
144,Venom: Let There Be Carnage,2021,PG-13,"['Action', ' Adventure', ' Sci-Fi']",97,5.9,49,223595,59.0
145,Spider-Man 3,2007,PG-13,"['Action', ' Adventure', ' Sci-Fi']",139,6.3,59,591217,63.0
146,The Butterfly Effect,2004,R,"['Drama', ' Sci-Fi', ' Thriller']",113,7.6,30,490873,76.0
147,Captain Marvel,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.8,64,559504,68.0
148,The Hunger Games: Mockingjay - Part 2,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137,6.5,65,328377,65.0
149,Star Wars: Episode VI - Return of the Jedi,1983,PG,"['Action', ' Adventure', ' Fantasy']",131,8.3,58,1051231,83.0
150,Venom,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,35,485002,66.0
151,Solo: A Star Wars Story,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",135,6.9,62,347521,69.0
152,Weird Science,1985,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",94,6.6,46,90267,66.0
153,Something in the Dirt,2022,R,"['Comedy', ' Horror', ' Sci-Fi']",116,6.1,76,1244,61.0
154,Doctor Strange,2016,PG-13,"['Action', ' Adventure', ' Fantasy']",115,7.5,72,741159,75.0
155,Teenage Mutant Ninja Turtles,1990,PG,"['Action', ' Adventure', ' Comedy']",93,6.7,51,95284,67.0
156,Justice League,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",120,6.1,45,453392,61.0
157,Pixels,2015,PG-13,"['Action', ' Comedy', ' Fantasy']",105,5.6,27,145924,56.0
158,The Lobster,2015,R,"['Drama', ' Romance', ' Sci-Fi']",119,7.1,82,257300,71.0
159,The Tomorrow War,2021,PG-13,"['Action', ' Adventure', ' Drama']",138,6.5,45,205805,65.0
160,Jurassic World: Fallen Kingdom,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",128,6.1,51,317319,61.0
161,Bird Box,2018,R,"['Horror', ' Mystery', ' Sci-Fi']",124,6.6,51,342425,66.0
162,Despicable Me,2010,PG,"['Animation', ' Adventure', ' Comedy']",95,7.6,72,548271,76.0
163,Infinite,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",106,5.4,28,50994,54.0
164,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,"['Action', ' Adventure', ' Fantasy']",140,7.6,68,791123,76.0
165,Life,2017,R,"['Horror', ' Sci-Fi', ' Thriller']",104,6.6,54,232558,66.0
166,Back to the Future Part II,1989,PG,"['Adventure', ' Comedy', ' Sci-Fi']",108,7.8,57,533432,78.0
167,Fatman,2020,R,"['Action', ' Adventure', ' Comedy']",100,5.9,40,25610,59.0
168,Splice,2009,R,"['Horror', ' Sci-Fi']",104,5.8,66,98231,58.0
169,Spider-Man 2,2004,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,7.4,83,653198,74.0
170,The Amazing Spider-Man,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,6.9,66,656563,69.0
171,2012,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",158,5.8,49,379119,58.0
172,Blade,1998,R,"['Action', ' Horror', ' Sci-Fi']",120,7.1,47,276695,71.0
173,Vanilla Sky,2001,R,"['Fantasy', ' Mystery', ' Romance']",136,6.9,45,269069,69.0
174,Total Recall,1990,R,"['Action', ' Adventure', ' Sci-Fi']",113,7.5,57,332409,75.0
175,In Time,2011,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,6.7,53,413047,67.0
176,The Maze Runner,2014,PG-13,"['Action', ' Mystery', ' Sci-Fi']",113,6.8,57,468283,68.0
177,Source Code,2011,PG-13,"['Action', ' Drama', ' Mystery']",93,7.5,74,521779,75.0
178,Looper,2012,R,"['Action', ' Drama', ' Sci-Fi']",119,7.4,84,577000,74.0
179,District 9,2009,R,"['Action', ' Sci-Fi', ' Thriller']",112,7.9,81,682726,79.0
180,Stargate,1994,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,7.0,42,192286,70.0
181,Face/Off,1997,R,"['Action', ' Crime', ' Sci-Fi']",138,7.3,82,379027,73.0
182,Predestination,2014,R,"['Action', ' Drama', ' Sci-Fi']",97,7.4,69,284246,74.0
183,Alien: Covenant,2017,R,"['Horror', ' Sci-Fi', ' Thriller']",122,6.4,65,282832,64.0
184,Passengers,2016,PG-13,"['Drama', ' Romance', ' Sci-Fi']",116,7.0,41,406689,70.0
185,WarGames,1983,PG,"['Action', ' Drama', ' Sci-Fi']",114,7.1,77,101609,71.0
186,Synchronic,2019,R,"['Crime', ' Drama', ' Horror']",102,6.2,64,31885,62.0
187,Super Mario Bros.,1993,PG,"['Adventure', ' Comedy', ' Family']",104,4.1,35,55453,41.0
188,Captain America: The Winter Soldier,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,7.8,70,844550,78.0
189,Paul,2011,R,"['Adventure', ' Comedy', ' Sci-Fi']",104,6.9,57,254195,69.0
190,28 Days Later...,2002,R,"['Drama', ' Horror', ' Sci-Fi']",113,7.5,73,416159,75.0
