movie_id,movie_title,rating
29072,Finding Nemo,7.6
98843,The Lord of the Rings: The Return of the King,8.1
20832,The Lord of the Rings: The Two Towers,8
86026,Seventh Son,5.2
83659,Lara Croft: Tomb Raider,5.7
12049,Transcendence,5.9
80119,Jurassic Park III,5.7
37168,Rise of the Planet of the Apes,7
49119,The Spiderwick Chronicles,6.3
19693,A Good Day to Die Hard,5.2
99668,The Alamo,5.8
65873,The Incredibles,7.4
56974,Cutthroat Island,5.7
49360,Percy Jackson & the Olympians: The Lightning Thief,6
25758,Men in Black,6.9
79011,Toy Story 2,7.3
69635,Unstoppable,6.3
83766,Rush Hour 2,6.4
21691,What Lies Beneath,6.3
24175,Cloudy with a Chance of Meatballs,6.5
73184,Ice Age: Dawn of the Dinosaurs,6.5
48877,The Secret Life of Walter Mitty,7
18887,Charlie's Angels,5.6
26110,The Departed,7.9
71690,Mulan,7.6
48400,Tropic Thunder,6.5
60550,The Girl with the Dragon Tattoo,7.2
48662,Die Hard: With a Vengeance,6.9
11210,Sherlock Holmes,7
33929,Ben-Hur,5.3
34974,Atlantis: The Lost Empire,6.7
13043,Alvin and the Chipmunks: The Road Chip,5.8
58562,Valkyrie,6.7
69893,You Don't Mess with the Zohan,5.5
21750,Pixels,5.6
24486,A.I. Artificial Intelligence,6.8
59720,The Haunted Mansion,5.2
58444,Contact,7.2
47446,Hollow Man,5.6
94528,The Interpreter,6.2
82961,Percy Jackson: Sea of Monsters,5.9
20418,Lara Croft Tomb Raider: The Cradle of Life,5.5
79026,Now You See Me 2,6.7
28527,The Saint,5.9
68305,Spy Game,6.8
73368,Mission to Mars,5.7
17748,Rio,6.5
44291,Bicentennial Man,6.9
68425,Volcano,5.2
39786,The Devil's Own,5.9
93507,K-19: The Widowmaker,6.1
42298,Conan the Barbarian,6.6
43699,Cinderella Man,7.3
24611,The Nutcracker: The Untold Story,5.4
44050,Seabiscuit,6.7
38693,Twister,6.1
65513,Cast Away,7.5
76546,Happy Feet,5.9
39637,The Bourne Supremacy,7.2
99081,Air Force One,6.2
87201,Ocean's Eleven,7.2
37052,The Three Musketeers,5.6
59259,Hotel Transylvania,6.8
18502,Enchanted,6.6
94514,Safe House,6.3
17405,102 Dalmatians,5.1
95146,Tower Heist,5.8
47582,The Holiday,6.7
47286,Enemy of the State,6.7
27994,It's Complicated,6.2
91156,Ocean's Thirteen,6.5
77783,Open Season,6.1
81991,Divergent,6.9
70570,Enemy at the Gates,7.2
41241,The Rundown,6.4
92177,Last Action Hero,6.1
72450,Memoirs of a Geisha,7.3
71252,The Fast and the Furious: Tokyo Drift,6.1
75303,Arthur Christmas,6.7
73296,Meet Joe Black,6.9
65092,Collateral Damage,5.5
24215,All That Jazz,7.3
41432,Mirror Mirror,5.5
92036,Scott Pilgrim vs. the World,7.2
71597,The Core,5.4
99730,Nutty Professor II: The Klumps,4.7
11331,Scooby-Doo,5.4
47807,Dredd,6.6
59831,Click,6
23458,Creepshow,6.7
89610,Cats & Dogs 2 : The Revenge of Kitty Galore,4.9
68093,Jumper,5.9
22583,Hellboy II: The Golden Army,6.5
45431,Zodiac,7.3
31018,The 6th Day,5.7
60729,Bruce Almighty,6.4
78388,The Expendables,6
20371,Mission: Impossible,6.7
62446,The Hunger Games,6.9
33471,The Hangover Part II,6.2
69545,Batman Returns,6.6
26983,Over the Hedge,6.3
57674,Lilo & Stitch,7.1
86138,Charlotte's Web,5.8
91627,Deep Impact,5.9
51530,RED 2,6.4
22306,The Longest Yard,6.2
40784,Alvin and the Chipmunks: Chipwrecked,5.4
82982,Grown Ups 2,5.8
39179,Get Smart,6
91893,Something's Gotta Give,6.3
38257,Shutter Island,7.8
21885,Four Christmases,5.3
53187,Robots,6
83501,Face/Off,6.8
28592,Bedtime Stories,5.9
67638,Road to Perdition,7.3
43514,Just Go with It,6.3
47642,Con Air,6.5
95571,Eagle Eye,6.3
51114,Cold Mountain,6.7
79677,The Book of Eli,6.6
65864,Flubber,5.3
49312,The Haunting,5.2
69944,Space Jam,6.5
47536,The Pink Panther,5.6
40408,The Day the Earth Stood Still,5.2
94768,Conspiracy Theory,6.5
40555,Fury,7.4
35128,Six Days Seven Nights,5.6
70690,Yogi Bear,5.2
60862,Spirit: Stallion of the Cimarron,7.4
36742,Zookeeper,5.3
49773,Lost in Space,5
95829,The Manchurian Candidate,6.2
76780,Déjà Vu,8
80335,Hotel Transylvania 2,6.7
95225,Fantasia 2000,7
25252,The Time Machine,5.8
86573,Mighty Joe Young,5.9
99251,Swordfish,6.1
15842,The Legend of Zorro,5.9
47180,What Dreams May Come,6.8
89463,Little Nicky,5.2
31847,The Brothers Grimm,5.6
84637,Mars Attacks!,6.1
86492,Évolution,6.4
58976,The Edge,6.7
89574,Surrogates,5.9
73606,Thirteen Days,6.9
56821,Daylight,5.8
40288,Walking With Dinosaurs,5.2
36874,Battlefield Earth,3
